Month,Employee #,Filled Position Description,Filled FTE Percent,Current Salary
April-17,1166.0,GRANTS ADMIN 2,1.0,73439.0
April-17,7837.0,WORD PROC OPR 2-20,1.0,45543.0
April 2017,,,,
April-17,3442.0,PLANNER-PRINCIPAL,1.0,94365.0
April-17,1958.0,PROGRAM ASST 1,1.0,57097.0
April-17,4046.0,ADMIN CLK 1,1.0,54060.0
April-17,1743.0,BUSINESS DEV SPEC 2,1.0,73439.0
April-17,3618.0,PLAN TECH,1.0,66968.0
April 2017,,,,
April-17,3770.0,GIS SPECIALIST,1.0,68154.0
April-17,5713.0,PLANNER 2,1.0,71300.0
April-17,1046.0,PLANNER 3,1.0,84656.0
April-17,1151.0,PLANNING DIV DIR,1.0,115032.0
April-17,8035.0,PLANNER 2-18,1.0,71300.0
April 2017,,,,
April-17,4020.0,PLANNER 3,1.0,80737.0
April-17,1549.0,PLANNER 2-18,1.0,77004.0
April-17,4023.0,MAD ARTS PROG ADMIN,1.0,83088.0
April-17,2802.0,PLANNER 4,1.0,96408.0
April-17,2433.0,PROGRAM ASST 1,1.0,57097.0
April-17,1607.0,PLANNER 3,1.0,84656.0
April-17,3455.0,PLANNER-PRINCIPAL,1.0,100026.0
April-17,5362.0,CODE ENFORC OFF 3-16,1.0,68130.0
April-17,3278.0,CODE ENFC OFF 2-16,1.0,62721.0
April-17,1887.0,CODE ENFC OFF 2-16,1.0,65023.0
April-17,1892.0,BLDG INSPECT DIV DIR,1.0,126442.0
April-17,2318.0,CUSTODIAL WKR 2,1.0,54263.0
April-17,4111.0,ARCHITECT 4,1.0,102465.0
April-17,2901.0,ZONING ADMIN,1.0,100026.0
April-17,2345.0,CODE ENFORC OFF 3,1.0,73179.0
April-17,7677.0,ELEC/HEAT INSPECTOR,1.0,65541.0
April 2017,,,,
April-17,3853.0,ADMIN CLK 1,1.0,53577.0
April-17,10250.0,CODE ENFC OFF 1-16,1.0,51169.0
April-17,1142.0,ENGINEER 3,1.0,84656.0
April-17,2971.0,ELEC/HEAT INSPECTOR,1.0,79574.0
April-17,1649.0,HSG INSPECTION SUPV,1.0,88661.0
April-17,2133.0,CODE ENFORC OFF 3,1.0,78863.0
April-17,2104.0,MAINT MECH 2,1.0,68202.0
April 2017,,,,
April-17,2840.0,INFORMATION CLERK,1.0,48279.0
April 2017,,,,
April-17,2793.0,ELEC/HEAT INSPECTOR,1.0,75311.0
April-17,3178.0,CUSTODIAL WKR 2,1.0,51356.0
April-17,7978.0,CODE ENFC OFF 1-16,1.0,52531.0
April-17,7878.0,PROGRAM ASST 3,1.0,51061.0
April-17,2772.0,ADMIN CLK 1,1.0,54060.0
April-17,1299.0,ZONING CODE OFF 2,1.0,66917.0
April-17,3014.0,CUSTODIAL WKR 2,1.0,54263.0
April-17,7590.0,PLUMB/HEAT INSPECTOR,1.0,65541.0
April-17,2172.0,ZONING CODE OFF 2,1.0,72095.0
April-17,2663.0,CUSTODIAL WKR 1-16,1.0,43187.0
April-17,9207.0,ELEC/HEAT INSPECTOR,1.0,63129.0
April-17,2220.0,CODE ENFORC OFF 3,1.0,78863.0
April-17,8537.0,MAINT MECH 1-16,1.0,52531.0
April-17,3887.0,ADMIN CLK 1,1.0,52129.0
April-17,1824.0,INFORMATION CLERK,1.0,46912.0
April-17,2091.0,PLAN REVIEW SPEC 2,1.0,66917.0
April-17,7645.0,WGTS MEASURES INSP 1-16,1.0,54028.0
April-17,3728.0,ELECTRICIAN,1.0,73010.0
April-17,1700.0,PLAN REV & INSP SUPV,1.0,110752.0
April 2017,,,,
April-17,9070.0,CUSTODIAL WKR 1-16 PT,0.8,31343.0
April-17,2681.0,PLAN REVIEW SPEC 4,1.0,82836.0
April-17,2130.0,PROPERTY CODE INSP 1,1.0,58835.0
April-17,3981.0,ZONING ADMIN ASST,1.0,75311.0
April-17,2049.0,CODE ENFC OFF 2-16,1.0,70705.0
April-17,10373.0,CODE ENFC OFF 1-16,1.0,51169.0
April-17,2719.0,PLUMB/HEAT INSPECTOR,1.0,71048.0
April-17,2307.0,PLUMB/HEAT INSPECTOR,1.0,73179.0
April-17,2576.0,HSG REHAB SPEC,1.0,79856.0
April-17,5999.0,REAL ESTATE AGENT 2,1.0,68154.0
April-17,3932.0,REAL ESTATE AGENT 3-18 PT,1.0,87792.0
April-17,2779.0,PROGRAM ASST 2,1.0,55694.0
