Employee #,Filled Position Description,Filled FTE Percent,Current Salary
7978,CODE ENFC OFF 1-16,1," 	54,028 "
VACANT,VACANT,VACANT,VACANT
2772,ADMIN CLK 1,1," 	54,060 "
1299,ZONING CODE OFF 2,1," 	66,917 "
3014,CUSTODIAL WKR 2,1," 	54,263 "
7590,PLUMB/HEAT INSPECTOR,1," 	65,541 "
2172,ZONING CODE OFF 2,1," 	72,095 "
2663,CUSTODIAL WKR 1-16,1," 	43,187 "
9207,ELEC/HEAT INSPECTOR,1," 	63,129 "
2220,CODE ENFORC OFF 3,1," 	78,863 "
8537,MAINT MECH 1-16,1," 	52,531 "
3887,ADMIN CLK 1,1," 	52,129 "
1824,INFORMATION CLERK,1," 	46,912 "
2091,PLAN REVIEW SPEC 2,1," 	66,917 "
7645,WGTS MEASURE INSP 3,1," 	56,800 "
3728,ELECTRICIAN,1," 	73,010 "
1700,PLAN REV & INSP SUPV,1," 	110,752 "
VACANT,VACANT,VACANT,VACANT
9070,CUSTODIAL WKR 1-16 PT,0.8," 	31,343 "
2681,PLAN REVIEW SPEC 4,1," 	82,836 "
2130,PROPERTY CODE INSP 1,1," 	58,835 "
3981,ZONING ADMIN ASST,1," 	75,311 "
2049,CODE ENFC OFF 2-16,1," 	70,705 "
10373,CODE ENFC OFF 1-16,1," 	51,169 "
2719,PLUMB/HEAT INSPECTOR,1," 	71,048 "
2307,PLUMB/HEAT INSPECTOR,1," 	73,179 "
2576,HSG REHAB SPEC,1," 	79,856 "
5999,REAL ESTATE AGENT 2,1," 	68,154 "
3932,REAL ESTATE AGENT 3-18 PT,1," 	87,008 "
2779,PROGRAM ASST 2,1," 	55,694 "
7648,REAL ESTATE AGENT 3,1," 	71,300 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
3651,BUSINESS DEV SPEC-18,1," 	88,661 "
1713,HSG REHAB SPEC,1," 	79,143 "
1562,ACCT CLERK 3,1," 	57,097 "
2913,CERT MUNI CLK,1," 	52,508 "
3548,ASSESS SERVS SUPV,1," 	79,856 "
2180,PROPERTY APPRAISER 4,1," 	86,289 "
2439,CERT MUNI CLK,1," 	52,508 "
2579,PROPERTY APPRAISER 3,1," 	80,617 "
6756,MUNI CLK 2-20,1," 	49,623 "
10501,PROPERTY APPRAISER 4,1," 	65,541 "
9593,PROP LISTER 1-20,1," 	44,051 "
2315,CITY ASSESSOR,1," 	121,551 "
3220,PROGRAM ASST 1,1," 	52,508 "
2645,FIN OPER LDWKR,1," 	58,612 "
1154,PROPERTY APPRAISER 2,1," 	75,624 "
3550,ASSESS TECH 2-16,1," 	58,835 "
1753,PROPERTY APPRAISER 3,1," 	82,836 "
